PIXEL,WAVELENGTH,LEAF,GRAY,WHITE,BG
271,836.4,16.0000,16.0000,16.0000,16.0000
272,838.6,16.0000,16.0000,15.9690,16.2962
273,840.8,16.0000,16.0000,16.0000,16.0000
274,843.0,16.0000,16.0000,16.0000,16.0000
275,845.2,16.0000,16.0000,16.0000,16.0000
276,847.4,16.0000,16.0000,15.9655,16.3538
277,849.6,16.0000,16.0000,15.9911,16.0923
278,851.8,16.0000,16.0000,15.9613,16.4077
279,854.0,16.0000,16.0000,15.9795,16.2192
280,856.2,16.0000,16.0000,15.9823,16.1923
281,858.4,16.0000,16.0000,16.0000,16.0000
282,860.6,16.0000,16.0000,15.9972,16.0308
283,862.8,16.0000,16.0000,16.0000,16.0000
284,865.0,16.0000,16.0000,15.9742,16.2923
285,867.2,16.0000,16.0000,16.0000,16.0000
286,869.4,16.0000,16.0000,15.9920,16.0923
287,871.6,16.0000,16.0000,16.0000,16.0000
288,873.8,16.0000,16.0000,16.0000,16.0000
289,876.0,16.0000,16.0000,15.9530,16.5615
290,878.2,16.0000,16.0000,15.9955,16.0538
291,880.4,16.0000,16.0000,16.0000,16.0000
292,882.6,16.0000,16.0000,15.9291,16.8654
293,884.8,16.0000,16.0000,15.9919,16.1000
294,887.0,16.0000,16.0000,15.9963,16.0462
295,889.2,16.0000,16.0000,15.9997,16.0038
296,891.4,16.0000,16.0000,15.9985,16.0192
297,893.6,16.0000,16.0000,15.9786,16.2692
298,895.8,16.0000,16.0000,15.9939,16.0769
299,898.0,16.0000,16.0000,16.0000,16.0000
300,900.2,16.0000,16.0000,15.9997,16.0038
301,902.4,16.0000,16.0000,15.9931,16.0885
302,904.6,16.0000,17.2667,17.3404,16.3231
303,906.8,16.0057,17.5933,17.6974,16.2577
304,909.0,16.0000,16.0000,15.9592,16.5231
305,911.2,16.0000,16.0000,16.0000,16.0000
306,913.4,16.0000,16.0000,16.0000,16.0000
307,915.6,16.0000,16.0000,15.9518,16.6192
308,917.8,16.0000,16.0000,16.0000,16.0000
309,920.0,16.0000,16.0000,15.9791,16.2692
310,922.2,16.0000,16.0000,15.9845,16.2000
311,924.4,16.0000,16.0000,15.9997,16.0038
312,926.6,16.0000,16.0000,16.0000,16.0000
313,928.8,16.0000,16.0000,15.9663,16.4385
314,931.0,16.0000,16.0000,15.9879,16.1577
315,933.2,16.0000,16.0000,16.0000,16.0000
316,935.4,16.0000,16.0000,16.0000,16.0000
317,937.6,16.0000,16.0000,15.9879,16.1577
318,939.8,16.0000,16.0000,15.9994,16.0077
319,942.0,16.0000,16.0000,16.0000,16.0000
320,944.2,16.0000,16.0000,16.0000,16.0000
321,946.4,16.0000,16.0000,15.9882,16.1538
322,948.6,16.0000,16.0000,15.9911,16.1154
323,950.8,16.0000,16.0000,16.0000,16.0000
324,953.0,16.0000,16.0000,16.0000,16.0000
