PIXEL,WAVELENGTH,BG,GRAY,GRAY/WHITE,WHITE,LEAF,WHITE-BG,LEAF-BG,(LEAF-BG)/(WHITE-BG)
259,810,16.0000,16,0.8658,16.0000,16,0,0,0.000000
260,812.2,16.0000,16,0.8701,16.0000,16,0,0,0.000000
261,814.4,16.0000,16,0.8742,16.0000,16,0,0,0.000000
262,816.6,16.0000,16,0.8781,16.0000,16,0,0,0.000000
263,818.8,16.0000,16,0.8816,16.0000,16,0,0,0.000000
264,821,16.0000,16,0.8850,16.0000,16,0,0,0.000000
265,823.2,16.0000,16,0.8882,16.0000,16,0,0,0.000000
266,825.4,16.0000,16,0.8913,16.0000,16,0,0,0.000000
267,827.6,16.0000,16,0.8942,16.0000,16,0,0,0.000000
268,829.8,16.0000,16,0.8968,16.0000,16,0,0,0.000000
269,832,16.0000,16,0.8991,16.0000,16,0,0,0.000000
270,834.2,16.0000,16,0.9012,16.0000,16,0,0,0.000000
271,836.4,16.0000,16,0.9033,16.0000,16,0,0,0.000000
272,838.6,16.0000,16,0.9052,16.0000,16,0,0,0.000000
273,840.8,16.0000,16,0.9069,16.0000,16,0,0,0.000000
274,843,16.0000,16,0.9084,16.0000,16,0,0,0.000000
275,845.2,16.0000,16,0.9099,16.0000,16,0,0,0.000000
276,847.4,16.0000,16,0.9112,16.0000,16,0,0,0.000000
277,849.6,16.0000,16,0.9124,16.0000,16,0,0,0.000000
278,851.8,16.0000,16,0.9134,16.0000,16,0,0,0.000000
279,854,16.0000,16,0.9145,16.0000,16,0,0,0.000000
280,856.2,16.0000,16,0.9156,16.0000,16,0,0,0.000000
281,858.4,16.0000,16,0.9165,16.0000,16,0,0,0.000000
282,860.6,16.0000,16,0.9174,16.0000,16,0,0,0.000000
283,862.8,16.0000,16,0.9182,16.0000,16,0,0,0.000000
284,865,16.0000,16,0.9189,16.0000,16,0,0,0.000000
285,867.2,16.0000,16,0.9196,16.0000,16,0,0,0.000000
286,869.4,16.0000,16,0.9204,16.0000,16,0,0,0.000000
287,871.6,16.0000,16,0.9212,16.0000,16,0,0,0.000000
288,873.8,16.0000,16,0.9220,16.0000,16,0,0,0.000000
289,876,16.0000,16,0.9227,16.0000,16,0,0,0.000000
290,878.2,16.0000,16,0.9234,16.0000,16,0,0,0.000000
291,880.4,16.0000,16,0.9239,16.0000,16,0,0,0.000000
292,882.6,16.0000,16,0.9243,16.0000,16,0,0,0.000000
293,884.8,16.0000,16,0.9248,16.0000,16,0,0,0.000000
294,887,16.0000,16,0.9252,16.0000,16,0,0,0.000000
295,889.2,16.0000,16,0.9256,16.0000,16,0,0,0.000000
296,891.4,16.0000,16,0.9260,16.0000,16,0,0,0.000000
297,893.6,16.0000,16,0.9264,16.0000,16,0,0,0.000000
298,895.8,16.0000,16,0.9267,16.0000,16,0,0,0.000000
299,898,16.0000,16,0.9270,16.0000,16,0,0,0.000000
300,900.2,16.0000,16,0.9272,16.0000,16,0,0,0.000000
301,902.4,16.0000,16,0.9274,16.0000,16,0,0,0.000000
302,904.6,16.0000,16,0.9275,16.0000,16,0,0,0.000000
303,906.8,16.0000,16,0.9277,16.0000,16,0,0,0.000000
304,909,16.0000,16,0.9277,16.0000,16,0,0,0.000000
305,911.2,16.0000,16,0.9277,16.0000,16,0,0,0.000000
306,913.4,16.0000,16,0.9277,16.0000,16,0,0,0.000000
307,915.6,16.0000,16,0.9278,16.0000,16,0,0,0.000000
